,EMPRESA_SIGLA,ANO,MES,MERCADO,RPK
49848,GLO,2001,1,SBBHSBSP,887040.0
49849,GLO,2001,1,SBBHSBSV,743280.0
49850,GLO,2001,1,SBBRSBGL,1172660.0
49851,GLO,2001,1,SBBRSBSP,2845110.0
49852,GLO,2001,1,SBBRSBSV,1144680.0
49853,GLO,2001,1,SBFLSBGL,NULL
49854,GLO,2001,1,SBFLSBPA,1188820.0
49855,GLO,2001,1,SBFLSBSP,2937760.0
49856,GLO,2001,1,SBBRSBGL,1960530.0
49857,GLO,2001,1,SBFLSBGL,NULL
49858,GLO,2001,1,SBGLSBPA,NULL
49859,GLO,2001,1,SBGLSBSP,2606760.0
49860,GLO,2001,1,SBGLSBSV,756378.0
49863,GLO,2001,1,SBFLSBPA,1264330.0
49864,GLO,2001,1,SBGLSBPA,NULL
49865,GLO,2001,1,SBPASBSP,NULL
49866,GLO,2001,1,SBBHSBSP,859320.0
49867,GLO,2001,1,SBBRSBSP,2486300.0
49868,GLO,2001,1,SBFLSBSP,2892860.0
49870,GLO,2001,1,SBGLSBSP,3033360.0
49871,GLO,2001,1,SBPASBSP,NULL
49872,GLO,2001,1,SBSPSBSV,100640.0
49873,GLO,2001,1,SBBHSBSV,795114.0
49874,GLO,2001,1,SBBRSBSV,1304170.0
49875,GLO,2001,1,SBGLSBSV,1369030.0
49877,GLO,2001,1,SBSPSBSV,14800.0
49878,GLO,2001,2,SBBHSBSP,2493290.0
49879,GLO,2001,2,SBBHSBSV,3404420.0
49880,GLO,2001,2,SBBRSBGL,5491310.0
49881,GLO,2001,2,SBBRSBSP,5989650.0
49882,GLO,2001,2,SBBRSBSV,3753020.0
49883,GLO,2001,2,SBFLSBGL,NULL
49884,GLO,2001,2,SBFLSBPA,2595090.0
49885,GLO,2001,2,SBFLSBSP,6111220.0
49886,GLO,2001,2,SBBRSBGL,5661320.0
49887,GLO,2001,2,SBFLSBGL,NULL
49888,GLO,2001,2,SBGLSBGR,45832.0
49889,GLO,2001,2,SBGLSBPA,NULL
49890,GLO,2001,2,SBGLSBSP,4568040.0
49891,GLO,2001,2,SBGLSBSV,2337340.0
49892,GLO,2001,2,SBFLSBGR,45835.0
49893,GLO,2001,2,SBGRSBPA,NULL
49894,GLO,2001,2,SBFLSBPA,2942840.0
49895,GLO,2001,2,SBGLSBPA,NULL
49896,GLO,2001,2,SBPASBSP,NULL
49897,GLO,2001,2,SBBHSBSP,3122780.0
49898,GLO,2001,2,SBBRSBSP,5515610.0
49899,GLO,2001,2,SBFLSBSP,6320090.0
49900,GLO,2001,2,SBGLSBSP,5637240.0
49901,GLO,2001,2,SBPASBSP,NULL
49902,GLO,2001,2,SBSPSBSV,NULL
49903,GLO,2001,2,SBBHSBSV,1971650.0
49904,GLO,2001,2,SBBRSBSV,2217740.0
49905,GLO,2001,2,SBGLSBSV,2389720.0
49906,GLO,2001,2,SBSPSBSV,NULL
49907,GLO,2001,3,SBBHSBSP,3408550.0
